TIME1,V1,V2,V3,V4,V5,V6,V7,V8,V9,V14,V10,V11,V12,V13
0.0,1.62,1.6183075931279718,1.6183075931279718,1.6183075931279718,1.6064053551665791,1.6064053551665791,1.6064053551665791,1.6064053870293569,1.596177336215334,1.596177336215334,1.5961773361339289,1.62,1.62,1.6080875539438828
1e-07,1.6206283183653514,1.6183556544095166,1.6183556544095166,1.6183556544095166,1.6061632882915924,1.6061632882915924,1.6061632882915924,1.6061633163999431,1.5954149453963733,1.5954149453963733,1.595952905513102,1.62,1.62,1.6077064280657192
2e-07,1.621256635738502,1.618358299195462,1.618358299195462,1.618358299195462,1.6058530973389475,1.6058530973389475,1.6058530973389475,1.6058531267232017,1.5948891184387517,1.5948891184387517,1.5956397506247506,1.62,1.62,1.6074434909632505
4e-07,1.6225132635394095,1.618358720660191,1.618358720660191,1.618358720660191,1.605225417061771,1.605225417061771,1.605225417061771,1.6052254449853345,1.5935254889635553,1.5935254889635553,1.5947963905982834,1.62,1.62,1.6067617032854398
8e-07,1.625026463578365,1.6183600080767953,1.6183600080767953,1.6183600080767953,1.6039707529207128,1.6039707529207128,1.6039707529207128,1.603970783486285,1.5912119430485236,1.5912119430485236,1.592587907838654,1.62,1.62,1.6056048814196773
1.6e-06,1.6300524191627288,1.6183625385891218,1.6183625385891218,1.6183625385891218,1.601461588015694,1.601461588015694,1.601461588015694,1.6014616150185728,1.5859295206762682,1.5859295206762682,1.5875640828490003,1.62,1.62,1.6029637362483091
3.2e-06,1.6401007746814766,1.618367471046027,1.618367471046027,1.618367471046027,1.5964448736109245,1.5964448736109245,1.5964448736109245,1.596444904286373,1.576168176961244,1.576168176961244,1.5775377535448487,1.62,1.62,1.598082996454144
6.4e-06,1.6601690500666972,1.618377444297066,1.618377444297066,1.618377444297066,1.5864259467302235,1.5864259467302235,1.5864259467302235,1.5864259726469787,1.5557774409487968,1.5557774409487968,1.557421526473444,1.62,1.62,1.587887716723896
1.24799999999e-05,1.698093113473714,1.6183959492101263,1.6183959492101263,1.6183959492101263,1.5674925936693855,1.5674925936693855,1.5674925936693855,1.5674926208047135,1.518000667823459,1.518000667823459,1.5194887050506105,1.62,1.62,1.568999307878614
2.46399999999e-05,1.7723556843138335,1.6184314208013433,1.6184314208013433,1.6184314208013433,1.5304180761238593,1.5304180761238593,1.5304180761238593,1.530418101271434,1.4437035715384587,1.4437035715384587,1.44514816819551,1.62,1.62,1.5318507971031965
4.02649999999e-05,1.8623345880280056,1.6184726062819814,1.6184726062819814,1.6184726062819814,1.4854981972113983,1.4854981972113983,1.4854981972113983,1.4854982201730609,1.3537009092136654,1.3537009092136654,1.35503206213777,1.62,1.62,1.4868495070953325
5.58899999999e-05,1.9430007094270645,1.6185067919920777,1.6185067919920777,1.6185067919920777,1.445227590517869,1.445227590517869,1.445227590517869,1.4452276116270966,1.2730215994552976,1.2730215994552976,1.2741713814574642,1.62,1.62,1.4465098871252469
7.1515e-05,2.0112540947037254,1.6185343022524732,1.6185343022524732,1.6185343022524732,1.4111562692028683,1.4111562692028683,1.4111562692028683,1.411156288847549,1.204769732263556,1.204769732263556,1.2057201436333391,1.62,1.62,1.412383981162184
8.714e-05,2.0644718045387465,1.6185521138525154,1.6185521138525154,1.6185521138525154,1.384590625724065,1.384590625724065,1.384590625724065,1.3845906443999367,1.151566111754203,1.151566111754203,1.1522560637766928,1.62,1.62,1.38578218924725
0.000102765,2.1006087121880035,1.6185615063609462,1.6185615063609462,1.6185615063609462,1.366554508646462,1.366554508646462,1.366554508646462,1.3665545268341048,1.115457332175228,1.115457332175228,1.115883353000029,1.62,1.62,1.3677278087698126
0.00011839,2.1182760965563463,1.618560156728364,1.618560156728364,1.618560156728364,1.357738092380816,1.357738092380816,1.357738092380816,1.3577381106327242,1.0978290859624569,1.0978290859624569,1.0979531910806946,1.62,1.62,1.358913684605525
0.000134015,2.116795009970483,1.6185500769557422,1.6185500769557422,1.6185500769557422,1.3584831267594142,1.3584831267594142,1.3584831267594142,1.3584831455717514,1.0993607047782492,1.0993607047782492,1.099198394708335,1.62,1.62,1.3596794836237642
0.0001496399999999,2.096222369757305,1.6185296962425575,1.6185296962425575,1.6185296962425575,1.3687580429854254,1.3687580429854254,1.3687580429854254,1.3687580628873373,1.119991494811606,1.119991494811606,1.119529998629498,1.62,1.62,1.3699948583085702
0.000165265,2.0573487709429363,1.6185017539867963,1.6185017539867963,1.6185017539867963,1.3881709157549835,1.3881709157549835,1.3881709157549835,1.388170937178615,1.1589304085420216,1.1589304085420216,1.158205284943397,1.62,1.62,1.3894642867020253
0.00018089,2.0016681041292466,1.6184653698064484,1.6184653698064484,1.6184653698064484,1.4159727876708414,1.4159727876708414,1.4159727876708414,1.4159728110455525,1.2146793098323452,1.2146793098323452,1.2137017140701087,1.62,1.62,1.4173387007983267
0.000196515,1.9313201461158085,1.6184238941140463,1.6184238941140463,1.6184238941140463,1.4510981763666675,1.4510981763666675,1.4510981763666675,1.4510982019906222,1.2850974892236906,1.2850974892236906,1.2839206553885911,1.62,1.62,1.4525477483136593
0.00021214,1.8490083294774893,1.6183769706159594,1.6183769706159594,1.6183769706159594,1.492194307278904,1.492194307278904,1.492194307278904,1.4921943354205296,1.3674771666383378,1.3674771666383378,1.3661316359180713,1.62,1.62,1.493737539780039
0.000227765,1.757895851166701,1.618328350722655,1.618328350722655,1.618328350722655,1.5376848010903663,1.5376848010903663,1.5376848010903663,1.5376848318641914,1.4586541459081372,1.4586541459081372,1.457205388050973,1.62,1.62,1.539325979987162
