TIME1,V10,V8,V1,V2,V3,V4,V5,V6,V7,V9,V14,V11,V12,V13
0.0,1.573968448798785,1.6064053864291676,1.62,1.6183075931279494,1.6183075931279494,1.6183075931279494,1.6064053551666309,1.6064053551666309,1.6064053551666309,1.5739684488790575,1.5739684488790575,1.62,1.62,1.6080653222030077
1.5625e-07,1.5717650590322991,1.6056008812906273,1.620981747073423,1.618396221384529,1.618396221384529,1.618396221384529,1.6056008673866955,1.6056008673866955,1.6056008673866955,1.5683848829394889,1.5683848829394889,1.62,1.62,1.6066178977237373
3.125e-07,1.5696226164260598,1.6046419168218136,1.6219634903619031,1.6184076027838443,1.6184076027838443,1.6184076027838443,1.6046418913711893,1.6046418913711893,1.6046418913711893,1.5663359381527304,1.5663359381527304,1.62,1.62,1.6060865789477086
6.25e-07,1.5629544350201658,1.6026879189997023,1.623926950444356,1.6184123376258903,1.6184123376258903,1.6184123376258903,1.6026879130559906,1.6026879130559906,1.6026879130559906,1.5560115897221027,1.5560115897221027,1.62,1.62,1.6034100833493654
1.25e-06,1.549500792249611,1.598764796563582,1.6278536586559105,1.618414090783999,1.618414090783999,1.618414090783999,1.59876475391606,1.59876475391606,1.59876475391606,1.5461241555556826,1.5461241555556826,1.62,1.62,1.6008463220777314
2.5e-06,1.51741328707416,1.590932598444195,1.6357053795390644,1.61842379828023,1.61842379828023,1.61842379828023,1.5909326077947474,1.5909326077947474,1.5909326077947474,1.508483723939612,1.508483723939612,1.62,1.62,1.5910881910252908
5e-06,1.4587866672787728,1.575270841850184,1.6513952597646568,1.6184375224843108,1.6184375224843108,1.6184375224843108,1.5752707924124556,1.5752707924124556,1.5752707924124556,1.4564739899531438,1.4564739899531438,1.62,1.62,1.5776036215316958
9.3800686256e-06,1.3506876038595084,1.547924966177907,1.6788003249742185,1.61846613559301,1.61846613559301,1.61846613559301,1.5479249855126316,1.5479249855126316,1.5479249855126316,1.3411688020909065,1.3411688020909065,1.62,1.62,1.54771034453018
1.71292770764e-05,1.167445740652954,1.500023984756765,1.7267972220969894,1.61851079021445,1.61851079021445,1.61851079021445,1.5000239395516106,1.5000239395516106,1.5000239395516106,1.1656283977321924,1.1656283977321924,1.62,1.62,1.5021992499617407
3.00548350316e-05,0.8651193565872073,1.4226067506256896,1.8043825765672463,1.6185853420966032,1.6185853420966032,1.6185853420966032,1.4226067844472277,1.4226067844472277,1.4226067844472277,0.8557236232381771,0.8557236232381771,1.62,1.62,1.4218543271325037
