Epoch,epoch_loss,epoch_acc,val_loss,val_acc
[1 / 100],0.9190650847494812,0.570733137829912,0.6726244732737541,0.6818670681867068
[2 / 100],0.5081151275254637,0.769090909090909,0.3441506141796708,0.7494084749408475
[3 / 100],0.38284247560734486,0.8148387096774193,0.22469635466113685,0.7836093783609378
[4 / 100],0.2921177296433052,0.8694428152492668,0.15890531073091552,0.8175951817595182
[5 / 100],0.24133854620115,0.889266862170088,0.16858537613297814,0.804258980425898
[6 / 100],0.21973890728335763,0.8996480938416422,0.16631350901880068,0.8154441815444181
[7 / 100],0.20611600358157056,0.9039882697947214,0.19323512217524694,0.7932888793288879
[8 / 100],0.19019303326729733,0.9131378299120234,0.1445149856783246,0.8543772854377285
[9 / 100],0.18071024365513505,0.9174780058651026,0.15982997576429625,0.803613680361368
[10 / 100],0.17264838296273705,0.9217595307917889,0.16947439961695637,0.807270380727038
[11 / 100],0.16254807182845352,0.9263929618768328,0.13893260863760587,0.8496450849645085
[12 / 100],0.1591807915482469,0.9280938416422287,0.16436791166488546,0.802323080232308
[13 / 100],0.15278581200071456,0.9315542521994135,0.14833709118347543,0.8216820821682083
[14 / 100],0.15391509945434492,0.929384164222874,0.1639466471136984,0.8070552807055281
[15 / 100],0.14988949123370393,0.9319061583577712,0.1450699278180764,0.8606151860615187
[16 / 100],0.14693378082532238,0.9331964809384165,0.15119588991392446,0.810281781028178
[17 / 100],0.14343776793660246,0.9343695014662756,0.16503088212994044,0.801677780167778
[18 / 100],0.13847413297979666,0.9373020527859237,0.15812791097414447,0.8223273822327383
[19 / 100],0.14450211251964673,0.933900293255132,0.1847130010028195,0.8031834803183481
[20 / 100],0.14054897263703992,0.9364809384164223,0.15924563234002562,0.8085609808560981
[21 / 100],0.14103623984967317,0.9363636363636364,0.1855384257910373,0.801677780167778
[22 / 100],0.1347366026219866,0.9379472140762464,0.17358065894786706,0.8092062809206281
[23 / 100],0.13608460946312634,0.9364222873900293,0.16847116923796648,0.8251236825123682
[24 / 100],0.13254893524473307,0.936891495601173,0.17873614111508687,0.8107119810711981
[25 / 100],0.1323921631782898,0.9388856304985337,0.21681454106698084,0.8025381802538181
[26 / 100],0.13424292098919688,0.9385923753665689,0.1949970753360958,0.8018928801892881
[27 / 100],0.12812018742085274,0.9402932551319648,0.2083814504387192,0.802107980210798
[28 / 100],0.1292668085364537,0.9404105571847508,0.22158565296299457,0.801677780167778
[29 / 100],0.13120782273509818,0.9398240469208211,0.22901000521781043,0.802753280275328
[30 / 100],0.12837682026498465,0.941524926686217,0.24599115564456042,0.807270380727038
[31 / 100],0.12351641915215873,0.9415835777126099,0.2186658300061481,0.8061948806194881
[32 / 100],0.1212049990574827,0.9421114369501467,0.2711769341007084,0.801462680146268
[33 / 100],0.12334875975388014,0.9414076246334311,0.26030373150510966,0.8018928801892881
[34 / 100],0.12103040507856887,0.9416422287390029,0.27315929585234927,0.801677780167778
[35 / 100],0.11815457875269345,0.9417595307917889,0.2473666961660342,0.801247580124758
[36 / 100],0.12149788267953607,0.9418768328445748,0.2520140689370919,0.802323080232308
[37 / 100],0.11931344373519467,0.9435190615835777,0.30656950565371516,0.8018928801892881
[38 / 100],0.11796726811467588,0.9433431085043988,0.28021441846667583,0.802107980210798
[39 / 100],0.11347308311607865,0.944574780058651,0.31716365122556456,0.8031834803183481
[40 / 100],0.11531673798048656,0.9441055718475073,0.2780574500593957,0.7945794794579479
[41 / 100],0.11521129621221336,0.9446334310850439,0.25457824708706767,0.7816734781673478
[42 / 100],0.11615164941117405,0.944516129032258,0.2495221935243535,0.7347816734781674
[43 / 100],0.11767447997997865,0.9426392961876833,0.3294160369972701,0.804689180468918
[44 / 100],0.11023447470827376,0.9458064516129032,0.3009273642664539,0.802107980210798
[45 / 100],0.11435599976047207,0.946099706744868,0.3276129188438688,0.800387180038718
[46 / 100],0.11412362548920688,0.9449853372434017,0.31370866430277144,0.802107980210798
[47 / 100],0.11354998692083074,0.9465689149560117,0.34763452069161077,0.8064099806409981
[48 / 100],0.10997653698336042,0.9459824046920821,0.32564602177295965,0.798881479888148
[49 / 100],0.10944278624422869,0.9468621700879766,0.3202936631034731,0.7719939771993978
[50 / 100],0.10908216445258695,0.9456304985337244,0.3402482815775102,0.8018928801892881
[51 / 100],0.10606434706863525,0.9463929618768329,0.2862314990085849,0.7919982791998279
[52 / 100],0.11233576755490793,0.9442815249266863,0.3133375541998447,0.800602280060228
[53 / 100],0.10773089438820681,0.9462756598240469,0.33596891513984983,0.800172080017208
[54 / 100],0.10851598653231913,0.9453958944281525,0.31036387318200126,0.8068401806840181
[55 / 100],0.10680858072125875,0.9462170087976539,0.291351843279304,0.7945794794579479
[56 / 100],0.10966423117373361,0.9443401759530792,0.37796108823767227,0.801032480103248
[57 / 100],0.1052527620448664,0.9459237536656891,0.3786790594000635,0.802107980210798
[58 / 100],0.1068276437811652,0.9473900293255132,0.37252724376117496,0.800172080017208
[59 / 100],0.10886443109533649,0.9458651026392962,0.34408924310636735,0.799311679931168
[60 / 100],0.10689784365902401,0.9465102639296188,0.3405969981892554,0.800602280060228
[61 / 100],0.10577191621572955,0.9459237536656891,0.3432422847588811,0.805334480533448
[62 / 100],0.10656870204883961,0.9452785923753666,0.3920516545707258,0.7842546784254678
[63 / 100],0.10389036754697537,0.9481524926686217,0.34400708787613044,0.796515379651538
[64 / 100],0.10397634709527954,0.947683284457478,0.3137611863515872,0.7674768767476877
[65 / 100],0.10812623964646056,0.9463343108504398,0.4078321635282613,0.800817380081738
[66 / 100],0.10166601582202403,0.9483870967741935,0.3610394604070578,0.7756506775650678
[67 / 100],0.10351238699451219,0.9473313782991203,0.46609255425484264,0.801247580124758
[68 / 100],0.10117365531435238,0.9480351906158357,0.4107227466985421,0.802107980210798
[69 / 100],0.10303359198967932,0.9473900293255132,0.42102972186653,0.8018928801892881
[70 / 100],0.10869939204284666,0.9466275659824047,0.4531637600468542,0.800387180038718
[71 / 100],0.10520095607377879,0.9469794721407625,0.38809188518728205,0.7919982791998279
[72 / 100],0.1028840420510021,0.947683284457478,0.3952944312265288,0.7950096795009679
[73 / 100],0.10371778868141007,0.9481524926686217,0.45876067779081636,0.800817380081738
[74 / 100],0.09835137063493733,0.9500293255131965,0.4018422287506553,0.7913529791352979
[75 / 100],0.1004436822968849,0.9490322580645161,0.4302125454089264,0.801462680146268
[76 / 100],0.10126625346556561,0.9469208211143695,0.49947128559743986,0.8089911808991181
[77 / 100],0.10088716220417696,0.9479178885630498,0.4793772022385966,0.797375779737578
[78 / 100],0.09928134229271281,0.9479765395894428,0.41279661453487293,0.7902774790277479
[79 / 100],0.1008140299700596,0.949208211143695,0.4525213771708252,0.7945794794579479
[80 / 100],0.10167636247755142,0.9480351906158357,0.4658355546647158,0.801677780167778
[81 / 100],0.09827380362224092,0.9487976539589443,0.42323179128604804,0.796730479673048
[82 / 100],0.10158725860884,0.949208211143695,0.48915070788819576,0.7950096795009679
[83 / 100],0.1002717391484378,0.9497947214076247,0.45645661751654065,0.799311679931168
[84 / 100],0.1011059022241569,0.9478592375366569,0.44204865317014674,0.796730479673048
[85 / 100],0.09677517472047768,0.949149560117302,0.46842430817351205,0.797160679716068
[86 / 100],0.10017987833626305,0.9483284457478006,0.4732704603838954,0.795439879543988
[87 / 100],0.09958282011228377,0.9495014662756598,0.48418187904380544,0.7982361798236179
[88 / 100],0.09538803822396247,0.9503812316715543,0.514657465912358,0.800602280060228
[89 / 100],0.09777666143209618,0.9496187683284457,0.389215189400398,0.8188857818885782
[90 / 100],0.10324089058093751,0.9482111436950147,0.48549048194850963,0.800817380081738
[91 / 100],0.09471390058306038,0.9510850439882698,0.44607252563188277,0.790492579049258
[92 / 100],0.09675125062236317,0.9486803519061584,0.5530466617466232,0.801247580124758
[93 / 100],0.09817715572186578,0.9503812316715543,0.558143899772212,0.801247580124758
[94 / 100],0.09663385504909147,0.9489149560117303,0.5232070743680509,0.797805979780598
[95 / 100],0.09653561294802303,0.9494428152492669,0.500869909551389,0.800387180038718
[96 / 100],0.09981752008940747,0.949208211143695,0.5048246091277319,0.801677780167778
[97 / 100],0.09387201842895132,0.9511436950146628,0.5478607680492825,0.800817380081738
[98 / 100],0.09648365027544234,0.9496774193548387,0.48844707072058535,0.7864056786405679
[99 / 100],0.09397506406115931,0.9515542521994135,0.4892531546429577,0.8070552807055281
[100 / 100],0.09779540274342488,0.9499706744868035,0.5902629404146058,0.802968380296838
