TIME1,V1,V2,V3,V4,V5,V6,V7,V8,V9,V14,V10,V11,V12,V13
0.00296214,1.3909916705225234,1.6182725302005985,1.6182725302005985,1.6182725302005985,1.6636161736253627,1.6636161736253627,1.6636161736253627,1.6636162073627834,1.7107390547042631,1.7107390547042631,1.711410269774986,1.62,1.62,1.6653683776138055
0.002977765,1.4821041488333122,1.6182974531454208,1.6182974531454208,1.6182974531454208,1.6408674075313174,1.6408674075313174,1.6408674075313174,1.6408674399351626,1.6651422314258508,1.6651422314258508,1.665868316186119,1.62,1.62,1.642569991012103
0.00299339,1.5785158873715526,1.6183220501340423,1.6183220501340423,1.6183220501340423,1.616794344063077,1.616794344063077,1.616794344063077,1.616794375132223,1.6168967035825266,1.6168967035825266,1.6176500327401742,1.62,1.62,1.6184472521686588
0.003009015,1.676521837093546,1.6183468054172083,1.6183468054172083,1.6183468054172083,1.5923238843858871,1.5923238843858871,1.5923238843858871,1.5923239141313092,1.5678571887814587,1.5678571887814587,1.568608531195117,1.62,1.62,1.593927519649152
0.00302464,1.772355684313849,1.6183693378809616,1.6183693378809616,1.6183693378809616,1.5683946272763452,1.5683946272763452,1.5683946272763452,1.5683946557989945,1.519907571785297,1.519907571785297,1.5206283383004062,1.62,1.62,1.569952734154369
0.003040265,1.86233458802802,1.618390211664605,1.618390211664605,1.618390211664605,1.5459279481895554,1.5459279481895554,1.5459279481895554,1.5459279755983553,1.4748912127626876,1.4748912127626876,1.4755534168060933,1.62,1.62,1.5474445756073163
0.00305589,1.9430007094270765,1.6184071943005145,1.6184071943005145,1.6184071943005145,1.5257854410907752,1.5257854410907752,1.5257854410907752,1.525785467576384,1.4345373745489007,1.4345373745489007,1.4351158593207922,1.62,1.62,1.5272676738990438
0.003071515,2.0112540947037347,1.618421063689933,1.618421063689933,1.618421063689933,1.50874295936222,1.50874295936222,1.50874295936222,1.5087429851119325,1.4003975301583709,1.4003975301583709,1.4008697700542836,1.62,1.62,1.510197765587404
0.00308714,2.0644718045387536,1.618429856087199,1.618429856087199,1.618429856087199,1.4954536475406577,1.4954536475406577,1.4954536475406577,1.4954536728087997,1.373782949645771,1.373782949645771,1.3741310949426386,1.62,1.62,1.4968904844486022
0.003102765,2.1006087121880075,1.6184346645607826,1.6184346645607826,1.6184346645607826,1.4864299950831317,1.4864299950831317,1.4864299950831317,1.4864300201038756,1.3557171285401954,1.3557171285401954,1.3559274985666638,1.62,1.62,1.487857578612666
0.00311839,2.118276096556348,1.61843387318186,1.61843387318186,1.61843387318186,1.4820169869279658,1.4820169869279658,1.4820169869279658,1.4820170119835594,1.3468936066510258,1.3468936066510258,1.3469584221031337,1.62,1.62,1.4834458170889404
0.003134015,2.116795009970481,1.6184289436754065,1.6184289436754065,1.6184289436754065,1.4823860016070185,1.4823860016070185,1.4823860016070185,1.482386026939895,1.3476521937081458,1.3476521937081458,1.3475686551911052,1.62,1.62,1.483825105477013
