TIME1,V1,V2,V3,V4,V5,V6,V7,V8,V9,V14,V10,V11,V12,V13
0.0,1.62,1.618307593127967,1.618307593127967,1.618307593127967,1.6064053551665785,1.6064053551665785,1.6064053551665785,1.6064053869004151,1.5914017807497918,1.5914017807497918,1.5914017806686305,1.62,1.62,1.6080827782403682
1e-07,1.6206283183653514,1.618390425373334,1.618390425373334,1.618390425373334,1.6059427026657769,1.6059427026657769,1.6059427026657769,1.6059427246710114,1.5894261111941643,1.5894261111941643,1.5908201882177626,1.62,1.62,1.6072597927903034
2e-07,1.621256635738502,1.6184051219153446,1.6184051219153446,1.6184051219153446,1.605343780511047,1.605343780511047,1.605343780511047,1.6053438077435347,1.588453611900186,1.588453611900186,1.5901235216299872,1.62,1.62,1.606854471824897
4e-07,1.6225132635394095,1.6184117918084329,1.6184117918084329,1.6184117918084329,1.6041004980817706,1.6041004980817706,1.6041004980817706,1.6041005163585356,1.5846731540734489,1.5846731540734489,1.588027472925711,1.62,1.62,1.6052794745772168
8e-07,1.625026463578365,1.618410689801464,1.618410689801464,1.618410689801464,1.601585112839616,1.601585112839616,1.601585112839616,1.6015851480119343,1.5801389126240972,1.5801389126240972,1.5829135864960568,1.62,1.62,1.6033898423159811
1.6e-06,1.6300524191627288,1.618418662780697,1.618418662780697,1.618418662780697,1.5965751712388232,1.5965751712388232,1.5965751712388232,1.596575182962668,1.566029351432488,1.566029351432488,1.5706210061638022,1.62,1.62,1.5975113651867772
3.2e-06,1.6401007746814766,1.6184259300987849,1.6184259300987849,1.6184259300987849,1.5865416080956851,1.5865416080956851,1.5865416080956851,1.5865416463995026,1.5443126649265762,1.5443126649265762,1.5468449198869685,1.62,1.62,1.588462171714748
6.4e-06,1.6601690500666972,1.618448309174267,1.618448309174267,1.618448309174267,1.566519092455382,1.566519092455382,1.566519092455382,1.566519099915586,1.493514818137614,1.493514818137614,1.498261036110225,1.62,1.62,1.5672970689574366
1.24799999999e-05,1.698093113473714,1.6184841258789864,1.6184841258789864,1.6184841258789864,1.5286703425376298,1.5286703425376298,1.5286703425376298,1.528670363251713,1.4038557499913693,1.4038557499913693,1.407400446996106,1.62,1.62,1.5299388382038974
2.34362221973e-05,1.7651346556495355,1.618548152538831,1.618548152538831,1.618548152538831,1.461769275738278,1.461769275738278,1.461769275738278,1.4617692916564975,1.242865022109464,1.242865022109464,1.2463554906766685,1.62,1.62,1.4628594730402864
3.90612221973e-05,1.8556912877270608,1.618631415878802,1.618631415878802,1.618631415878802,1.3714092426764029,1.3714092426764029,1.3714092426764029,1.3714092534667954,1.0255426852813252,1.0255426852813252,1.0287588646339565,1.62,1.62,1.3723086117317866
5.46862221973e-05,1.937190435794432,1.618700826790015,1.618700826790015,1.618700826790015,1.2900926036622695,1.2900926036622695,1.2900926036622695,1.2900926098475416,0.8299712027202883,0.8299712027202883,0.8327683265655199,1.62,1.62,1.2908205949164084
7.03112221973e-05,2.006500133296669,1.618757055181273,1.618757055181273,1.618757055181273,1.2209509127029097,1.2209509127029097,1.2209509127029097,1.2209509153791969,0.663717382011695,0.663717382011695,0.6660358764320399,1.62,1.62,1.2215482466440897
8.59362221973e-05,2.060956847428087,1.618794061906648,1.618794061906648,1.618794061906648,1.166633487150632,1.166633487150632,1.166633487150632,1.1666334873210935,0.5331313787840214,0.5331313787840214,0.5348382377727218,1.62,1.62,1.1671374670557062
0.0001015612221973,2.0984678372042924,1.618814281600708,1.618814281600708,1.618814281600708,1.1292354263425957,1.1292354263425957,1.1292354263425957,1.129235425336946,0.4432705266969252,0.4432705266969252,0.4443402895077726,1.62,1.62,1.1296954714175589
0.0001171862221973,2.117591576324592,1.6188131018629042,1.6188131018629042,1.6188131018629042,1.1101862436303545,1.1101862436303545,1.1101862436303545,1.11018624259064,0.3975490003723872,0.3975490003723872,0.397903977858096,1.62,1.62,1.1106448365183197
0.0001328112221973,2.1175931502193075,1.618794382129074,1.618794382129074,1.618794382129074,1.1102256141920503,1.1102256141920503,1.1102256141920503,1.110225614497265,0.3977631129036056,0.3977631129036056,0.3974228957462578,1.62,1.62,1.1107340210146115
0.0001484362221973,2.098472498404549,1.6187550488356242,1.6187550488356242,1.6187550488356242,1.1293444367204104,1.1293444367204104,1.1293444367204104,1.1293444394592915,0.4438652045597125,0.4438652045597125,0.4428127871811593,1.62,1.62,1.1299431729564882
0.0001640612221973,2.060964416806572,1.6187003854863546,1.6187003854863546,1.6187003854863546,1.1668155270542728,1.1668155270542728,1.1668155270542728,1.1668155334636912,0.5341231913220931,0.5341231913220931,0.5324261279740383,1.62,1.62,1.1675505874817624
0.0001796862221973,2.006510319966412,1.6186287416993494,1.6186287416993494,1.6186287416993494,1.221191387665553,1.221191387665553,1.221191387665553,1.221191398596431,0.6650287169480776,0.6650287169480776,0.6627279129880924,1.62,1.62,1.2220944578531767
0.0001953112221973,1.937202848287428,1.6185466010252525,1.6185466010252525,1.6185466010252525,1.2903898429382656,1.2903898429382656,1.2903898429382656,1.2903898593160334,0.8315911367497797,0.8315911367497797,0.8287966849983862,1.62,1.62,1.2914953472108353
0.0002109362221973,1.8557054490381648,1.6184534103879284,1.6184534103879284,1.6184534103879284,1.3717442132386968,1.3717442132386968,1.3717442132386968,1.3717442355276903,1.0273693443731615,1.0273693443731615,1.0241694470925844,1.62,1.62,1.3730694712492866
