Epoch,epoch_loss,epoch_acc,val_loss,val_acc
[1 / 100],0.9690659332081555,0.5684290798169802,0.8455515249625786,0.6584981620864695
[2 / 100],0.8253365397695603,0.621250635485511,0.6857268145451179,0.6772273761596359
[3 / 100],0.6645899318400922,0.6641586171835282,0.6397724259983409,0.6987572203745843
[4 / 100],0.6210724692943135,0.670665988815455,0.5764746953557421,0.7078592683353755
[5 / 100],0.589111917144884,0.6810371123538383,0.5559618343840113,0.7209872221249781
[6 / 100],0.5675522673844806,0.6963396034570412,0.5982381223173409,0.6683003675827061
[7 / 100],0.5457749148391611,0.7066090493136756,0.5604859525923962,0.7083843864869596
[8 / 100],0.5390568421320702,0.7063548551093035,0.5049034089787857,0.7461928934010152
[9 / 100],0.5269917903271147,0.7161667513980681,0.536251975939824,0.711885174164187
[10 / 100],0.5151512005434531,0.7246059989832232,0.49539150203858223,0.7675476982321022
[11 / 100],0.5049808282647433,0.7280630401626843,0.45463982797586,0.7708734465254682
[12 / 100],0.508428558101499,0.7274021352313167,0.4555552429356775,0.7633467530194293
[13 / 100],0.5046905673343719,0.7276563294356889,0.6147972343268094,0.6989322597584456
[14 / 100],0.4942425715063161,0.73111337061515,0.4550613871925361,0.7316646245405216
[15 / 100],0.4963937839114569,0.7281647178444332,0.4449203982428237,0.7768247855767547
[16 / 100],0.48626052813861914,0.7331469242501271,0.5590767158078147,0.710484859093296
[17 / 100],0.4896773873881354,0.7298423995932892,0.4452474078202581,0.7862769123052686
[18 / 100],0.4776092029774819,0.7348246059989832,0.4404394856908105,0.7633467530194293
[19 / 100],0.48110474812669485,0.7352821555668531,0.43439101495526056,0.7691230526868545
[20 / 100],0.4776256341880899,0.7364006100660905,0.439354732684739,0.7710484859093296
[21 / 100],0.4826234147497794,0.7342653787493645,0.43307792838219994,0.7722737615963592
[22 / 100],0.47232431757862003,0.7409252669039146,0.4280074395083047,0.7724488009802205
[23 / 100],0.47418050266560013,0.7365022877478393,0.43080424720590765,0.7726238403640819
[24 / 100],0.4664232307757304,0.742399593289273,0.4740014579016846,0.7386661998949764
[25 / 100],0.46158541155963895,0.7433146924250127,0.43004764017316843,0.7761246280413093
[26 / 100],0.4745185166385358,0.7374682257244535,0.4832818548787724,0.7390162786626991
[27 / 100],0.46402785867997787,0.7441281138790036,0.4235433152505568,0.7727988797479433
[28 / 100],0.46273741233579024,0.7414844941535333,0.427239047272222,0.75319446875547
[29 / 100],0.4628130265216275,0.7435688866293848,0.42870953845811055,0.7729739191318047
[30 / 100],0.455023652911792,0.745246568378241,0.43048668897652126,0.7759495886574479
[31 / 100],0.45777524582193635,0.7453990849008643,0.4348330101245767,0.7854017153859618
[32 / 100],0.4594409002702895,0.7455007625826131,0.4153735376633964,0.761771398564677
[33 / 100],0.4533074009648668,0.7473309608540926,0.4414170316153473,0.7615963591808157
[34 / 100],0.45248000926482,0.7470767666497203,0.43838328284608735,0.7727988797479433
[35 / 100],0.45178049536255316,0.7468225724453482,0.41224768226380115,0.773148958515666
[36 / 100],0.4508854064984414,0.7461616675139807,0.4324545914997588,0.7715736040609137
[37 / 100],0.44906203014155227,0.7495678698525674,0.4197930610263264,0.7729739191318047
[38 / 100],0.46153045840924833,0.7462125063548551,0.4100505054726467,0.7773499037283389
[39 / 100],0.44447019063239174,0.7529232333502797,0.4161293001233281,0.7507439173814108
[40 / 100],0.45425306960213474,0.7518556176919167,0.41129479338447533,0.7692980920707159
[41 / 100],0.4487904738634825,0.7530757498729029,0.4211890201468568,0.7726238403640819
[42 / 100],0.4464049974865303,0.755821047280122,0.4105607911006554,0.7717486434447751
[43 / 100],0.44234929079326185,0.758312150482969,0.4133010629069555,0.761771398564677
[44 / 100],0.4460120722197178,0.7567361464158617,0.4114364592970668,0.7633467530194293
[45 / 100],0.4503933694819367,0.7566344687341129,0.4218143687381611,0.7628216348678453
[46 / 100],0.4338941722805422,0.7648195221148958,0.42149991203438153,0.7687729739191318
[47 / 100],0.4417415341831804,0.7616166751398068,0.4254110850445874,0.7805006126378435
[48 / 100],0.4406086832769518,0.7641586171835282,0.42380653561412035,0.789777699982496
[49 / 100],0.43401698112427217,0.7646670055922725,0.42140339846377606,0.7500437598459654
[50 / 100],0.43507230333317587,0.7654295882053889,0.4118441892983197,0.7509189567652722
[51 / 100],0.44416145394306356,0.7603965429588205,0.41842871732436693,0.7855767547698232
[52 / 100],0.4290716870407748,0.7711743772241992,0.45505533851943647,0.756520217048836
[53 / 100],0.43689967535920743,0.7673106253177427,0.41586704609485775,0.7789252581830912
[54 / 100],0.43278215251620705,0.7672597864768683,0.519882251124282,0.7173113950638894
[55 / 100],0.43380330778597814,0.7689374682257245,0.4103097564482189,0.7640469105548748
[56 / 100],0.43066301017363623,0.7693441789527199,0.43458631520087904,0.7668475406966567
[57 / 100],0.42629036896415357,0.7726995424504322,0.42141237086453637,0.7741991948188343
[58 / 100],0.4337903582983143,0.770310116929334,0.41250544551994417,0.7815508489410117
[59 / 100],0.4330763132500697,0.7701576004067108,0.42932588252779486,0.7726238403640819
[60 / 100],0.4297696589454403,0.7722928317234367,0.4158971876531214,0.7771748643444775
[61 / 100],0.42455775514850774,0.7748856126080326,0.4231684123511081,0.773148958515666
[62 / 100],0.42342985406275685,0.7753940010167768,0.4187210923829279,0.7652721862419044
[63 / 100],0.4329312801270223,0.773868835790544,0.42488351120398593,0.7748993523542798
[64 / 100],0.4228420148535473,0.7765632943568886,0.4296022654100732,0.7775249431122002
[65 / 100],0.42192959406875014,0.775292323335028,0.42351194622216526,0.7759495886574479
[66 / 100],0.43108999153705146,0.7733604473817997,0.4319925083668082,0.7747243129704183
[67 / 100],0.4215791276391081,0.7774783934926284,0.43340183393313336,0.7649221074741817
[68 / 100],0.42242490365434954,0.7778342653787493,0.42844880799521934,0.7724488009802205
[69 / 100],0.4195478658184288,0.7788002033553635,0.6160744382784917,0.7363906879047786
[70 / 100],0.4213208229985179,0.7786985256736146,0.43648917457232106,0.7659723437773499
[71 / 100],0.424022647696055,0.7778342653787493,0.4133674172567321,0.7647470680903203
[72 / 100],0.43261802078383726,0.7742755465175394,0.45399386717097745,0.7659723437773499
[73 / 100],0.41197304236816196,0.783375699034062,0.4446678777987307,0.7670225800805182
[74 / 100],0.4287369621205863,0.777427554651754,0.44721964309057155,0.7349903728338876
[75 / 100],0.42852762161292196,0.7775800711743772,0.4231641767741917,0.7687729739191318
[76 / 100],0.4143273464547909,0.7820538891713269,0.45689052223534016,0.7477682478557676
[77 / 100],0.41714715371589833,0.7829181494661922,0.45539183763565716,0.7549448625940837
[78 / 100],0.43129424157181406,0.7772241992882563,0.4600779476438786,0.761246280413093
[79 / 100],0.41535020708977205,0.7826131164209456,0.4520843319230146,0.7610712410292316
[80 / 100],0.41929625916650626,0.7807829181494662,0.42486573453549736,0.7713985646770524
[81 / 100],0.4231650218579585,0.7793085917641078,0.5261564003108264,0.7358655697531945
[82 / 100],0.4094024688096308,0.7851042196237926,0.4428623288453042,0.7593208471906179
[83 / 100],0.4146644569539685,0.7838840874428064,0.47436586876849196,0.750393838613688
[84 / 100],0.4094011669266757,0.7842399593289273,0.4327915422097369,0.7603710834937861
[85 / 100],0.42299406899790454,0.7799694966954753,0.466739127269158,0.7453176964817084
[86 / 100],0.41545393994850355,0.7836807320793086,0.4751515958484236,0.7397164361981445
[87 / 100],0.41776830073052307,0.7822572445348246,0.4433477964330386,0.763171713635568
[88 / 100],0.4057729300111532,0.7895271987798678,0.4936799154831813,0.7496936810782426
[89 / 100],0.42920981954813486,0.7779359430604982,0.49454591741095055,0.7423420269560651
[90 / 100],0.4137817446929895,0.783375699034062,0.48265504571316126,0.7554699807456677
[91 / 100],0.4108689312739828,0.7873411286222675,0.48305999315702,0.7388412392788377
[92 / 100],0.426914398747731,0.7799186578546009,0.4615384448137317,0.7393663574304219
